state,year,job,population,Employee Rates,lat,long
South Australia,2016,9460,1771703,5.34,-30.000,133.809
Western Australia,2016,7353,2675797,2.75,-25.042,119.793
Tasmania,2016,3919,541965,7.23,-41.640,146.315
Northern Territory,2016,2198,247023,8.90,-19.491,132.551
Australian Capital Territory,2017,57675,431826,133.56,-35.473,149.012
New South Wales,2017,28544,8176368,3.49,-31.840,145.612
Victoria,2017,25498,6648564,3.84,-38.020,143.364
Queensland,2017,17027,5206400,3.27,-20.917,142.702
South Australia,2017,9054,1771703,5.11,-30.000,133.809
Western Australia,2017,6800,2675797,2.54,-25.042,119.793
Tasmania,2017,3752,541965,6.92,-41.640,146.315
Northern Territory,2017,2125,247023,8.60,-19.491,132.551
Australian Capital Territory,2018,57066,431826,132.15,-35.473,149.012
New South Wales,2018,27797,8176368,3.40,-31.840,145.612
Victoria,2018,25500,6648564,3.84,-38.020,143.364
Queensland,2018,16939,5206400,3.25,-20.917,142.702
South Australia,2018,8968,1771703,5.06,-30.000,133.809
Western Australia,2018,6948,2675797,2.60,-25.042,119.793
Tasmania,2018,3691,541965,6.81,-41.640,146.315
Northern Territory,2018,2014,247023,8.15,-19.491,132.551
Australian Capital Territory,2019,55183,431826,127.79,-35.473,149.012
New South Wales,2019,26894,8176368,3.29,-31.840,145.612
Victoria,2019,25464,6648564,3.83,-38.020,143.364
Queensland,2019,16872,5206400,3.24,-20.917,142.702
South Australia,2019,9117,1771703,5.15,-30.000,133.809
Western Australia,2019,6739,2675797,2.52,-25.042,119.793
Tasmania,2019,3626,541965,6.69,-41.640,146.315
Northern Territory,2019,1927,247023,7.80,-19.491,132.551
